mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20.0,1350,3150
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,15.0,350,2400
الرياض,غرب الرياض,حي عرقة,3 شوارع,سكني,15.0,5400,2800
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,765,4200
الرياض,شمال الرياض,حي حطين,شرق,سكني,15.0,437,3750
الرياض,شرق الرياض,حي الروضة,جنوب غربي,سكني,20.0,625,2880
مكة المكرمة,,حي الخضراء,غرب,,24.0,750,2858
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,20.0,550,3000
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,14.0,7000,3200
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,909,3000
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,750,4200
الرياض,شمال الرياض,حي النرجس,4 شوارع,,36.0,3900,2800
الخبر,,حي العقيق,شمال شرقي,سكني,20.0,380,973
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني أو تجاري,60.0,5280,3000
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15.0,384,4100
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20.0,900,3700
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20.0,1200,2750
الرياض,جنوب الرياض,حي عريض,جنوب,سكني,15.0,207,652
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,12.0,800,2100
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20.0,750,800
المدينة المنورة,,حي العزيزية,شرق,تجاري,100.0,750,1200
الرياض,شرق الرياض,حي الرمال,3 شوارع,سكني,20.0,312,2100
الرياض,شرق الرياض,حي النسيم الغربي,شمال,سكني,10.0,360,1400
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,20.0,3000,3500
الرياض,شمال الرياض,حي النرجس,شمال,سكني,36.0,800,3750
الرياض,شرق الرياض,حي الرمال,شمال,سكني,20.0,625,2200
الخبر,,حي العقيق,شرق,,20.0,715,909
الرياض,غرب الرياض,حي المهدية,غرب,سكني,20.0,900,1200
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15.0,385,4000
الرياض,شرق الرياض,حي الحمراء,شرق,سكني,20.0,1237,3200
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,20.0,638,2500
الرياض,شرق الرياض,حي القدس,غرب,تجاري,35.0,13571,3500
الرياض,وسط الرياض,حي الربوة,3 شوارع,سكني,20.0,1479,4259
الرياض,شمال الرياض,حي النرجس,3 شوارع,تجاري,60.0,1283,4300
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20.0,900,3200
الرياض,غرب الرياض,حي المهدية,جنوب غربي,سكني,20.0,575,1500
الرياض,شرق الرياض,حي الحمراء,شمال,سكني,30.0,1125,3450
الرياض,شمال الرياض,حي الواحة,جنوب,سكني,20.0,600,3900
الرياض,غرب الرياض,حي ظهرة لبن,شمال,سكني,20.0,500,1200
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25.0,600,4700
الرياض,شرق الرياض,حي المونسية,شرق,تجاري,35.0,750,3100
الرياض,غرب الرياض,حي عرقة,غرب,سكني,12.0,416,2500
الرياض,شمال الرياض,حي المحمدية,3 شوارع,سكني,20.0,7710,3300
الرياض,شرق الرياض,حي قرطبة,غرب,سكني,15.0,690,2650
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,28.0,14000,4800
جدة,شمال جدة,حي الفيصلية,غرب,تجاري,40.0,3858,4924
الخبر,,حي الكوثر,شمال شرقي,سكني,20.0,1350,555
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,25.0,17072,3550
الهفوف,,حي الطرف,شمال شرقي,سكني,15.0,753,250
جدة,شمال جدة,حي الصالحية,غرب,سكني,15.0,868,1382
الخبر,,حي الشراع,جنوب,سكني,20.0,312,1185
بريدة,,حي الصفراء,جنوب,,30.0,660,1700
جازان,,حي الزهور,جنوب غربي,,60.0,15000,55
الرياض,غرب الرياض,حي عليشة,جنوب,سكني,20.0,899,1950
الرياض,جنوب الرياض,حي طيبة,3 شوارع,سكني,15.0,7190,350
الرياض,غرب الرياض,حي المهدية,شمال غربي,تجاري,35.0,400,1500
جازان,,حي الصفا,جنوب,,15.0,630,800
الرياض,شمال الرياض,حي الصحافة,جنوب,تجاري,60.0,1854,6300
الرياض,غرب الرياض,حي المهدية,شرق,سكني,20.0,690,1200
جدة,شمال جدة,حي ابحر الشمالية,شرق,سكني,20.0,552,2445
الرياض,شمال الرياض,حي النخيل,شمال شرقي,سكني,30.0,1500,5000
الرس,,حي الشفاء,شرق,تجاري,30.0,400,875
الرياض,جنوب الرياض,حي طيبة,جنوب شرقي,سكني,15.0,2000,1350
خميس مشيط,,حي الواحة,جنوب,سكني,20.0,700,428
احد رفيده,,حي العزيزية,جنوب,سكني,12.0,576,651
ابها,,حي السروات,جنوب,سكني,15.0,1210,99
صامطة,,حي الجرادية,جنوب,سكني أو تجاري,15.0,660,190
الخبر,,حي الخزامى,جنوب غربي,سكني,40.0,1076,1100
الزلفي,,حي علقة,شرق,سكني,15.0,787,216
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,30.0,4200,7142
الدمام,,حي الفيصلية,شمال شرقي,تجاري,100.0,1307,3000
الخبر,,حي الحمرا,جنوب غربي,سكني,30.0,2301,3000
الدرعية,,حي الدرعية الجديدة,جنوب,سكني,15.0,6000,450
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,12.0,540,3500
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15.0,425,5100
الدرعية,,حي الخالدية,جنوب شرقي,,20.0,775,3900
ثول,,حي ثول,شمال,,25.0,1800,97
الرياض,غرب الرياض,حي المهدية,شمال,,10.0,900,1900
الرياض,شمال الرياض,حي المغرزات,3 شوارع,سكني أو تجاري,30.0,1980,4000
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,15.0,375,3733
الرياض,شمال الرياض,حي حطين,شمال,سكني,15.0,364,4500
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني أو تجاري,30.0,2310,1350
الرياض,شمال الرياض,حي بنبان,شمال,تجاري,40.0,1605,1200
الرياض,جنوب الرياض,حي عريض,جنوب,سكني,15.0,240,833
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,400,4400
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4200
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,18.0,288,2700
الرياض,غرب الرياض,حي الهدا,جنوب غربي,,20.0,3095,2800
الرياض,غرب الرياض,حي عرقة,شمال,,15.0,1050,3200
الرياض,شمال الرياض,حي النخيل,شمال,,20.0,750,4000
الرياض,شمال الرياض,حي الوادي,شرق,سكني,15.0,300,3300
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,917,3200
الدرعية,,حي الدرعية الجديدة,جنوب غربي,سكني,50.0,12480,350
الخرج,,حي الفيصلية,جنوب,سكني,20.0,550,550
الرياض,شمال الرياض,حي الربيع,شمال شرقي,سكني,15.0,676,3910
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15.0,1200,2600
المدينة المنورة,,حي الجماوات,شمال,,20.0,662,1812
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25.0,312,4500
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20.0,600,2800
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,سكني,15.0,744,645
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,سكني,20.0,3046,2500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20.0,678,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,,15.0,1050,3100
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15.0,300,3200
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,15.0,697,2600
الرياض,غرب الرياض,حي ظهرة لبن,غرب,تجاري,60.0,900,1772
الرياض,غرب الرياض,حي طويق,جنوب,سكني,30.0,651,950
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني,20.0,1500,733
الزلفي,,حي عريعرة,غرب,سكني,30.0,630,285
المدينة المنورة,,حي شوران,شرق,سكني أو تجاري,64.0,1030,1941
الخبر,,حي الامواج,جنوب,,20.0,510,980
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20.0,1757,825
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15.0,750,680
الرياض,شرق الرياض,حي اليرموك,جنوب شرقي,تجاري,30.0,900,2500
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,18.0,14212,3300
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,900,2600
الرياض,غرب الرياض,حي ضاحية نمار,غرب,سكني,20.0,504,793
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20.0,900,3800
الرياض,شرق الرياض,حي اليرموك,غرب,سكني,15.0,1250,2500
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,25.0,14816,3700
الرياض,شمال الرياض,حي الغدير,شمال شرقي,سكني,15.0,2290,4200
الرياض,شمال الرياض,حي الملقا,غرب,تجاري,30.0,1600,4000
الرياض,شمال الرياض,حي النرجس,غرب,,15.0,800,3000
الرياض,شمال الرياض,حي الياسمين,شمال,تجاري,35.0,2522,4200
الدرعية,,حي الخالدية,جنوب غربي,سكني,40.0,1395,3600
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15.0,1500,3100
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني أو تجاري,60.0,2140,10000
الرياض,شرق الرياض,حي الشرق,شمال شرقي,,15.0,1336,300
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18.0,611,4300
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,20.0,1120,3700
الرياض,غرب الرياض,حي المهدية,جنوب,تجاري,36.0,400,1500
الرياض,شرق الرياض,حي القدس,شمال شرقي,سكني,15.0,958,2800
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,20.0,9000,3500
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,,20.0,800,4500
الرياض,غرب الرياض,حي الحزم,3 شوارع,,35.0,5757,1200
الرس,,حي الربوة,شرق,سكني,20.0,2300,352
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,15.0,720,2400
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20.0,900,3300
الرياض,شمال الرياض,حي الصحافة,4 شوارع,سكني,15.0,8480,3000
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,15.0,750,4000
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25.0,675,3530
المدينة المنورة,,حي الملك فهد,شرق,,25.0,625,1168
الرياض,شمال الرياض,حي الملقا,شرق,سكني,20.0,450,3700
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,480,4000
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20.0,900,2400
الخبر,,حي العقيق,شرق,سكني,20.0,392,969
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,15.0,375,3300
الرياض,جنوب الرياض,حي عريض,شرق,,15.0,500,700
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15.0,800,2900
الرياض,شمال الرياض,حي الربيع,جنوب,سكني,15.0,510,3850
الخبر,,حي الكوثر,جنوب,سكني,20.0,1339,672
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15.0,391,4350
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,675,3200
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15.0,336,2500
الرياض,غرب الرياض,حي الرائد,شمال,سكني,20.0,1500,4300
الرياض,شمال الرياض,حي النفل,غرب,,20.0,675,3300
الرياض,شمال الرياض,حي الملقا,غرب,سكني,15.0,726,4000
الرياض,شمال الرياض,حي النفل,شمال شرقي,سكني,20.0,2100,3350
الرياض,شمال الرياض,حي التعاون,شرق,سكني,15.0,625,3760
بريدة,,حي مشعل,غرب,,30.0,1100,850
الرياض,شمال الرياض,حي الياسمين,شرق,سكني أو تجاري,36.0,1500,4000
جدة,شمال جدة,حي ابحر الشمالية,شرق,سكني,15.0,432,2200
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,15.0,375,3400
الدمام,,حي ضاحية الملك فهد,شمال,سكني,32.0,575,1304
الرياض,شمال الرياض,حي النخيل,شمال غربي,سكني,15.0,500,5000
الرياض,شرق الرياض,حي الخليج,شرق,سكني,15.0,900,1800
الرياض,شمال الرياض,حي الرحمانية,شمال شرقي,سكني,12.0,812,3000
جدة,شمال جدة,حي الامواج,شمال,سكني,15.0,750,2000
الرياض,شرق الرياض,حي الرمال,غرب,سكني,15.0,1050,1300
المدينة المنورة,,حي الرانوناء,جنوب,سكني,25.0,980,1200
الرياض,شمال الرياض,حي العليا,شمال,سكني,12.0,500,2400
ثادق,,حي الجنادرية,جنوب,سكني,15.0,663,325
الرياض,شمال الرياض,حي الغدير,غرب,سكني,20.0,750,4000
الرياض,شمال الرياض,حي الغدير,جنوب غربي,سكني,20.0,1176,4350
الرياض,شمال الرياض,حي القيروان,4 شوارع,سكني,20.0,624,3000
الرياض,شمال الرياض,حي الصحافة,شرق,تجاري,20.0,900,7100
الرياض,شمال الرياض,حي الملقا,غرب,سكني,15.0,900,4500
جدة,شمال جدة,حي المروة,جنوب غربي,تجاري,100.0,3333,10500
جدة,جنوب جدة,حي الفضيلة,شمال غربي,سكني,20.0,600,1333
الرياض,شمال الرياض,حي بنبان,جنوب,,15.0,375,746
